h3_cell,hex_emb,cluster
8911810d3cfffff,"[ 2.33503698e-02  3.02453669e-01  1.09451093e-01 -2.77063077e-01
  3.04894872e-01  4.97157816e-01  2.82132469e-01  3.27557550e-02
 -4.01749356e-02  1.35631181e-01 -5.90646555e-02  3.86896451e-01
  5.83850661e-01  4.98890551e-01  8.74532536e-02  0.00000000e+00
  4.37031497e-01  5.80368570e-01  5.31000166e-01  5.48986121e-01
  4.24017286e-01  3.31438544e-01  3.73007563e-01 -8.38693593e-02
  3.86310563e-01  4.06529959e-01  1.08433059e-01 -1.81182997e-01
 -1.11277321e-02  9.50885066e-02  1.10778692e-01  7.13724757e-02
  1.44319787e-01  1.01140613e-01 -4.50843514e-04  2.11136043e-01
  2.60408876e-01  5.32128314e-01  4.55522314e-01  2.08333333e-01
  1.41841187e-01  5.71821242e-01  3.65391008e-01  2.57593701e-01
 -1.33613812e-01  5.37929029e-01  1.60722596e-01  4.70373141e-02
  2.60523145e-01  5.34343057e-02 -4.55268844e-02 -8.06282723e-02
 -5.52896202e-02 -9.72575418e-02 -3.21802543e-02 -6.18362004e-02
 -7.95520652e-02  3.29142774e-01 -4.13674894e-02 -1.80649048e-02
 -6.72297017e-02 -1.01271503e-01 -1.02027757e-01  4.74871188e-01
  2.52613646e-01 -1.15442949e-01  7.22845508e-02  2.76761822e-01
  4.62093825e-01  1.85346547e-01  1.16687443e-01 -1.04674645e-01
  5.20562204e-01  3.31027175e-01 -1.27048533e-01 -9.53419762e-02
 -2.83692762e-01 -4.33807031e-02 -1.63539849e-01 -1.46320535e-01
  1.22650212e-01]",0
8911810d3d3ffff,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan]",1
8911810d3d7ffff,"[ 9.27948143e-02 -2.11435220e-01  2.62228871e-01 -6.65951965e-01
 -1.39549572e-01  5.52713372e-01 -4.40089753e-01  1.71644644e-01
  2.92695089e-02  3.30075625e-01  1.77046456e-01  8.17452007e-01
 -1.80038228e-01  5.26668329e-01  6.29119920e-01  0.00000000e+00
  7.70364830e-01  6.49813014e-01  6.28222388e-01  6.87875010e-01
  6.46239508e-01  5.53660766e-01  8.17452007e-01  9.16130641e-01
  8.44643896e-01  8.09307737e-01  4.00099726e-01  4.16039225e-01
  4.44278235e-02  3.17310729e-01  7.77445359e-01  2.24150253e-01
  4.77653121e-01  2.53918391e-01  6.89936009e-02 -3.44419513e-01
  4.27075542e-01  6.98794980e-01  7.33300091e-01  0.00000000e+00
  3.22396742e-01  6.69043464e-01  7.26502119e-01  9.65927034e-01
 -7.58613812e-01  5.93484584e-01 -2.14277404e-01 -3.97407130e-01
  4.96634256e-01  1.22878750e-01 -8.64971329e-01  3.04828389e-02
  2.65935344e-04  6.94091249e-02 -8.51624699e-01  2.57608244e-01
  1.70447935e-01 -1.56968337e-01  2.99177263e-04  1.34712873e-01
 -6.92229702e-01 -7.67938170e-01  2.86861132e-01  5.72093410e-01
 -4.69608576e-01  2.31779274e-01  4.05617884e-01  7.35095155e-01
  7.53760492e-01  3.10346547e-01  2.83354110e-01  3.11992022e-01
  7.28895537e-01  6.36582731e-01 -5.29826311e-01 -7.34230865e-01
 -6.30914984e-01  1.78841519e-01 -7.32984293e-01  2.84235020e-01
  2.05983545e-01]",1
8911810d3dbffff,"[ 9.27948143e-02  7.88564780e-01  2.62228871e-01 -3.32618632e-01
  5.27117095e-01  5.52713372e-01  5.59910247e-01 -1.61688689e-01
 -3.04063824e-01 -3.25770797e-03 -1.56286878e-01  1.50785340e-01
  8.19961772e-01  5.26668329e-01 -3.75467464e-02  0.00000000e+00
  7.70364830e-01  6.49813014e-01  6.28222388e-01  6.87875010e-01
  3.12906175e-01 -1.13005900e-01  1.50785340e-01  2.49463974e-01
  5.11310563e-01  4.75974404e-01 -2.66566941e-01  8.27058921e-02
  4.44278235e-02 -1.60226045e-02  1.10778692e-01 -1.09183080e-01
  1.44319787e-01 -4.12748276e-01  6.89936009e-02  3.22247154e-01
  9.37422089e-02  6.98794980e-01  7.33300091e-01  6.66666667e-01
  3.22396742e-01  6.69043464e-01  7.26502119e-01  9.65927034e-01
 -9.19471454e-02  5.93484584e-01  4.52389263e-01 -6.40737971e-02
 -1.70032411e-01 -2.10454583e-01 -8.64971329e-01  3.04828389e-02
  2.65935344e-04 -2.63924208e-01 -1.84958032e-01 -7.57250893e-02
 -1.62885398e-01  5.09698330e-01  2.99177263e-04 -1.98620460e-01
  3.07770298e-01 -7.67938170e-01  2.86861132e-01  5.72093410e-01
  5.30391424e-01 -1.01554060e-01  7.22845508e-02  7.35095155e-01
  7.53760492e-01  3.10346547e-01  2.83354110e-01 -3.54674645e-01
  3.95562204e-01  3.03249397e-01  1.36840356e-01 -4.00897532e-01
  3.69085016e-01  1.78841519e-01 -7.32984293e-01 -3.82431646e-01
  2.05983545e-01]",1
8911810d403ffff,"[ 9.27948143e-02  5.38564780e-01  2.62228871e-01 -1.65951965e-01
  6.10450428e-01  5.52713372e-01  5.59910247e-01  1.71644644e-01
  2.92695089e-02  8.00756254e-02  1.77046456e-01  5.67452007e-01
  8.19961772e-01  5.26668329e-01  1.29119920e-01  0.00000000e+00
  5.20364830e-01  6.49813014e-01  6.28222388e-01  4.37875010e-01
  3.96239508e-01  5.53660766e-01  8.17452007e-01  4.16130641e-01
  5.94643896e-01  3.09307737e-01  4.00099726e-01 -3.33960775e-01
 -4.55572177e-01  6.73107288e-02  7.77445359e-01  2.24150253e-01
  4.77653121e-01  2.53918391e-01 -1.81006399e-01  4.05580487e-01
  4.27075542e-01  4.48794980e-01  4.83300091e-01  0.00000000e+00
  3.22396742e-01  4.19043464e-01  2.26502119e-01 -3.40729660e-02
 -8.61381202e-03  3.43484584e-01 -2.14277404e-01  6.02592870e-01
  2.46634256e-01  1.22878750e-01  1.35028671e-01  3.04828389e-02
  2.65935344e-04  6.94091249e-02  1.48375301e-01 -4.92391756e-01
 -3.29552065e-01  3.43031663e-01  2.99177263e-04 -1.15287127e-01
  3.07770298e-01  2.32061830e-01  3.68611319e-02  5.72093410e-01
  5.30391424e-01  2.31779274e-01  1.55617884e-01  4.85095155e-01
  2.53760492e-01  6.03465470e-02  3.33541095e-02  6.19920219e-02
  4.78895537e-01  6.36582731e-01  2.20173689e-01  1.57691349e-02
  1.19085016e-01 -7.11584808e-02  1.70157068e-02  3.42350204e-02
  2.05983545e-01]",1
8911810d40bffff,"[-5.00623286e-02  3.59993352e-01  2.62228871e-01  4.83337489e-02
  4.31878999e-01  5.52713372e-01  4.17053104e-01  1.71644644e-01
  2.92695089e-02  4.43613396e-02 -1.08667830e-01 -3.96908502e-02
  2.48533200e-01  5.26668329e-01  3.43405635e-01  0.00000000e+00
  3.41793401e-01  5.06955871e-01  4.85365246e-01  5.45017868e-01
  2.17668079e-01  4.10803623e-01  5.31737721e-01  2.01844926e-01
  5.58929610e-01  3.80736308e-01  1.14385440e-01 -1.55389346e-01
 -9.84293194e-02 -2.54117843e-01  3.48873930e-01 -2.04421175e-01
 -9.37754508e-02 -3.17958946e-02  6.89936009e-02  5.12723344e-01
  2.84218399e-01  5.55937838e-01  3.04728663e-01  0.00000000e+00
  3.66824566e-02  3.83329178e-01  4.40787833e-01  1.08784177e-01
 -1.87185241e-01  1.64913155e-01  7.14368819e-02  4.59735727e-01
 -2.17651458e-01  1.22878750e-01 -7.82847170e-03  3.04828389e-02
 -1.42591208e-01  6.94091249e-02 -2.80196127e-01 -1.70963185e-01
 -4.00980637e-01  5.57317377e-01  2.99177263e-04 -1.51001413e-01
  3.07770298e-01  8.92046871e-02  1.14684617e-03  4.29236267e-01
  3.87534281e-01 -5.39350121e-02 -2.29535444e-02  2.08094407e-02
  3.94747777e-02  1.67489404e-01 -2.36017618e-03  2.62777362e-02
  5.86038394e-01  3.50868445e-01 -1.01254882e-01 -1.99451508e-02
  8.33707305e-02 -1.06872767e-01  1.24158564e-01  1.41377878e-01
  2.05983545e-01]",0
8911810d40fffff,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan]",1
8911810d413ffff,"[-5.72051857e-02  5.08564780e-01  1.62228871e-01 -2.15951965e-01
  1.40450428e-01  4.92713372e-01  4.39910247e-01  5.16446439e-02
 -5.07304911e-02  4.00756254e-02 -1.72953544e-01  2.67452007e-01
  3.09961772e-01  5.26668329e-01  2.59119920e-01 -2.00000000e-02
  4.30364830e-01  4.99813014e-01  4.98222388e-01  5.47875010e-01
  2.56239508e-01  2.93660766e-01  3.97452007e-01 -8.38693593e-02
  3.24643896e-01  3.89307737e-01  2.40099726e-01 -2.23960775e-01
 -3.55721765e-02  5.73107288e-02  1.07445359e-01 -5.58497465e-02
  5.76531206e-02  8.39183911e-02 -5.10063991e-02  2.35580487e-01
  2.87075542e-01  5.38794980e-01  4.83300091e-01  1.60000000e-01
  2.32396742e-01  5.59043464e-01  4.96502119e-01  7.59270340e-02
 -2.86138120e-02  4.73484584e-01  6.57225962e-02  2.59286961e-03
  1.36634256e-01  2.28787501e-02  1.50286712e-02 -5.95171611e-02
  2.65935344e-04 -5.05908751e-02 -1.16246987e-02 -2.82391756e-01
 -1.95520652e-02  3.23031663e-01 -2.97008227e-02  3.47128729e-02
 -5.22297017e-02 -2.79381700e-02 -3.73138868e-01  4.12093410e-01
  2.30391424e-01 -4.82207263e-02  1.35617884e-01  1.55095155e-01
  5.63760492e-01  2.00346547e-01  1.33354110e-01 -6.80079781e-02
  5.48895537e-01  3.66582731e-01  2.01736890e-02 -5.42308651e-02
 -4.09149838e-02 -2.11584808e-02 -3.29842932e-02 -1.57649796e-02
  1.35983545e-01]",0
8911810d41bffff,"[-2.66081708e-02  5.04982691e-01  1.57751259e-01 -2.03265398e-01
  9.92563981e-02  4.48235760e-01  4.25581889e-01  5.22416588e-02
 -4.53573568e-02  1.50971148e-01 -7.66848877e-02  3.39840067e-01
  2.82648339e-01  4.96817582e-01  1.51507980e-01  0.00000000e+00
  3.37529009e-01  4.40857790e-01  4.04341791e-01  5.53546652e-01
  2.73105180e-01  2.10377184e-01  4.14466932e-01 -8.38693593e-02
  3.52106583e-01  3.46621170e-01  1.76219129e-01 -1.51124954e-01
 -4.51244153e-02  1.38206251e-01  3.59534911e-01  3.01204027e-02
  1.04518792e-01  3.00377941e-02 -2.05586379e-02  1.18267054e-01
  3.07672557e-01  5.79391995e-01  5.09419494e-01  2.08955224e-01
  2.02993757e-01  5.19789732e-01  3.98143910e-01  1.45031512e-01
 -8.69720210e-02  3.99454733e-01  2.03633044e-01  9.51301830e-02
  2.27977539e-01  7.81026307e-02  7.00312945e-04 -5.90693999e-02
 -7.43609303e-02 -1.84322218e-01 -7.55052958e-02 -1.30451457e-01
  6.26883037e-03  3.95270469e-01 -1.46261959e-02  3.84514724e-04
 -2.05879106e-02 -1.11221752e-01 -3.69855286e-01  4.52690425e-01
  3.06510827e-01 -5.18028159e-02  1.81737287e-01  2.42557842e-01
  4.85103776e-01  2.20794308e-01  8.93242588e-02 -1.63661870e-02
  5.79641806e-01  3.82851388e-01 -3.72889975e-02 -3.27383278e-02
 -6.37508047e-02  2.95877878e-02  5.80604829e-02  1.55783039e-02
  4.18044408e-02]",0
8911810d42bffff,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan]",1
8911810d43bffff,"[ 9.27948143e-02  7.88564780e-01  2.62228871e-01  3.34048035e-01
  8.60450428e-01  5.52713372e-01  5.59910247e-01  1.71644644e-01
  2.92695089e-02  3.30075625e-01  1.77046456e-01  8.17452007e-01
  8.19961772e-01  5.26668329e-01 -3.70880080e-01  0.00000000e+00
  7.70364830e-01  6.49813014e-01  6.28222388e-01  6.87875010e-01
 -3.53760492e-01  5.53660766e-01  8.17452007e-01  9.16130641e-01
  8.44643896e-01 -1.90692263e-01  4.00099726e-01 -5.83960775e-01
  4.44278235e-02  3.17310729e-01  7.77445359e-01  2.24150253e-01
  4.77653121e-01  2.53918391e-01  6.89936009e-02  6.55580487e-01
  4.27075542e-01  6.98794980e-01  7.33300091e-01  0.00000000e+00
  3.22396742e-01  6.69043464e-01  7.26502119e-01  9.65927034e-01
  2.41386188e-01  5.93484584e-01  7.85722596e-01  6.02592870e-01
  4.96634256e-01  1.22878750e-01  1.35028671e-01  3.04828389e-02
  2.65935344e-04  6.94091249e-02  1.48375301e-01  2.57608244e-01
  1.70447935e-01  8.43031663e-01  2.99177263e-04  1.34712873e-01
  3.07770298e-01  2.32061830e-01  2.86861132e-01  5.72093410e-01
  5.30391424e-01  2.31779274e-01 -5.94382116e-01  7.35095155e-01
  7.53760492e-01  3.10346547e-01  2.83354110e-01 -6.88007978e-01
  7.28895537e-01  6.36582731e-01  4.70173689e-01  2.65769135e-01
  3.69085016e-01  1.78841519e-01  2.67015707e-01  2.84235020e-01
  2.05983545e-01]",2
8911810d443ffff,"[ 9.27948143e-02  7.11641703e-01  1.85305794e-01 -2.04413504e-01
 -6.26264951e-02  4.75790295e-01  4.82987170e-01  1.71644644e-01
  2.92695089e-02 -2.08385913e-01 -5.15261237e-01  2.78990469e-01
  5.07310026e-02  5.26668329e-01  1.67581459e-01  0.00000000e+00
  4.62672522e-01  4.95966860e-01  6.28222388e-01  5.34028857e-01
  1.84701046e-01  3.99814612e-01  5.86682776e-01 -8.38693593e-02
  1.52336204e-01  1.93923122e-01  2.46253572e-01 -3.53191544e-01
 -3.24952534e-02  8.65414981e-02  8.21458937e-03  7.03040996e-02
  9.30377360e-02  2.31491603e-02 -7.92947599e-03  5.01734333e-01
  2.73229388e-01  5.44948827e-01  3.48684707e-01  7.69230769e-02
  1.68550588e-01  5.15197310e-01  3.41886735e-01  2.73619342e-01
 -1.43229197e-01  5.16561507e-01  1.64918270e-02 -1.27917458e-02
  1.12018871e-01  1.22878750e-01 -9.57405596e-02 -4.64402381e-02
  2.65935344e-04 -1.61360106e-01 -2.36240083e-01 -5.88545602e-01
 -1.37244373e-01  3.04570124e-01  2.99177263e-04 -9.60563578e-02
  7.70010676e-02 -2.29476632e-01 -5.59292714e-01  4.18247256e-01
  3.76545270e-01 -3.06682265e-01  1.74848653e-01  1.96633617e-01
  5.22991261e-01  2.33423470e-01  2.06431033e-01 -3.03392593e-01
  5.75049383e-01  4.82736577e-01  2.39404458e-01  3.49999041e-02
 -1.55303684e-02  1.01918442e-01 -1.17599678e-01 -2.34572873e-02
  5.21373914e-02]",0
8911810d447ffff,"[ 9.27948143e-02  7.88564780e-01 -1.37771129e-01 -2.65951965e-01
  6.60450428e-01  5.52713372e-01  5.59910247e-01  1.71644644e-01
  2.92695089e-02  1.30075625e-01 -4.22953544e-01  4.17452007e-01
  4.19961772e-01  5.26668329e-01  4.29119920e-01  0.00000000e+00
  3.70364830e-01  2.49813014e-01  4.28222388e-01  6.87875010e-01
  4.46239508e-01  3.53660766e-01  4.17452007e-01 -8.38693593e-02
  6.44643896e-01  4.09307737e-01  9.97257542e-05  1.60392255e-02
 -1.55572177e-01 -8.26892712e-02  3.77445359e-01 -1.75849747e-01
  7.76531206e-02  2.53918391e-01  6.89936009e-02  4.55580487e-01
  4.27075542e-01  6.98794980e-01  3.33300091e-01  6.00000000e-01
  1.22396742e-01  2.69043464e-01  5.26502119e-01  5.65927034e-01
  4.13861880e-02  5.93484584e-01  3.85722596e-01  2.02592870e-01
  9.66342558e-02 -7.71212499e-02  1.35028671e-01  3.04828389e-02
  2.65935344e-04  6.94091249e-02 -5.16246987e-02 -3.42391756e-01
 -2.95520652e-02  4.43031663e-01  2.99177263e-04 -6.52871271e-02
  1.07770298e-01  3.20618300e-02  8.68611319e-02  3.72093410e-01
  3.30391424e-01  3.17792737e-02  2.05617884e-01  5.35095155e-01
  5.53760492e-01  1.10346547e-01  8.33541095e-02  3.11992022e-01
  7.28895537e-01  4.36582731e-01  2.70173689e-01 -5.34230865e-01
 -3.09149838e-02 -2.21158481e-01  6.70157068e-02 -1.15764980e-01
  2.05983545e-01]",1
8911810d44bffff,"[-0.02485224  0.49444713  0.20340534 -0.1365402   0.12515631  0.52330161
  0.44226319  0.02458582  0.02926951 -0.19933614 -0.23471825  0.4056873
  0.23172648  0.4678448  -0.22382126  0.          0.44683542  0.44393066
  0.4517518   0.59963972  0.38153363  0.1124843   0.17039318 -0.08386936
  0.13876154  0.22107244  0.07657031 -0.20160783 -0.07321924  0.02319308
  0.07156301 -0.06996739  0.15412371 -0.01078749 -0.16630052  0.18499225
  0.33884025  0.52232439  0.38035891  0.05882353  0.14592615  0.46316111
  0.40297271  0.11298586 -0.05273146  0.50524929  0.02101671 -0.13270125
  0.11428131  0.03464346 -0.10026545 -0.02834069 -0.02914583 -0.0776497
 -0.17515411 -0.44827411 -0.27072854  0.13714931 -0.05852435 -0.24764007
  0.04306442 -0.15029111 -0.15431534  0.39562282  0.23627378 -0.15057367
 -0.12379388  0.17627163  0.40081932  0.16328772 -0.01076354 -0.21741974
  0.43477789  0.37187685 -0.11806161 -0.17540734 -0.18973851 -0.08586436
 -0.02710194 -0.03929439  0.02951296]",0
8911810d44fffff,"[ 9.27948143e-02  7.88564780e-01  2.62228871e-01 -1.65951965e-01
  8.60450428e-01  5.52713372e-01  5.59910247e-01  1.71644644e-01
  2.92695089e-02  3.30075625e-01  1.77046456e-01  8.17452007e-01
 -1.80038228e-01  5.26668329e-01  6.29119920e-01  0.00000000e+00
  7.70364830e-01  6.49813014e-01  6.28222388e-01  6.87875010e-01
  6.46239508e-01  5.36607662e-02  8.17452007e-01  4.16130641e-01
  8.44643896e-01  3.09307737e-01  4.00099726e-01 -8.39607745e-02
  4.44278235e-02  3.17310729e-01  7.77445359e-01  2.24150253e-01
  4.77653121e-01  2.53918391e-01  6.89936009e-02  1.55580487e-01
  4.27075542e-01  6.98794980e-01  7.33300091e-01  5.00000000e-01
  3.22396742e-01  6.69043464e-01  7.26502119e-01 -3.40729660e-02
  2.41386188e-01  5.93484584e-01 -2.14277404e-01  6.02592870e-01
  4.96634256e-01  1.22878750e-01  1.35028671e-01  3.04828389e-02
  2.65935344e-04  6.94091249e-02  1.48375301e-01  2.57608244e-01
  1.70447935e-01  3.43031663e-01  2.99177263e-04  1.34712873e-01
 -1.92229702e-01  2.32061830e-01  2.86861132e-01  5.72093410e-01
  5.30391424e-01  2.31779274e-01  4.05617884e-01 -2.64904845e-01
  7.53760492e-01  3.10346547e-01  2.83354110e-01  3.11992022e-01
  7.28895537e-01  6.36582731e-01 -5.29826311e-01  2.65769135e-01
  3.69085016e-01  1.78841519e-01  2.67015707e-01  2.84235020e-01
  2.05983545e-01]",2
8911810d453ffff,"[-4.23403209e-02  4.82258474e-01  1.45111753e-01 -1.97483497e-01
  1.75765743e-01  4.53614272e-01  4.06757094e-01  4.73472725e-04
 -4.28025632e-02 -3.25770797e-03 -1.02232824e-01  3.12947502e-01
  2.70412222e-01  4.99641302e-01  1.51642443e-01  0.00000000e+00
  4.28022488e-01  5.77740942e-01  4.84078244e-01  5.16703839e-01
  3.93987256e-01  2.65372478e-01  3.67001557e-01 -8.38693593e-02
  2.23022274e-01  4.30929359e-01  1.20820446e-01 -1.33510324e-01
 -4.56622666e-02  1.37130549e-01  2.45913827e-01  8.90151183e-02
  1.26301769e-01  1.06751478e-02 -7.51505432e-02  2.32157064e-01
  3.18967434e-01  5.72668854e-01  3.54921713e-01  2.52252252e-01
  1.69243589e-01  4.70845266e-01  4.47222840e-01  1.91152259e-01
 -1.18974172e-01  4.40331431e-01  1.10046921e-01  4.40343111e-02
  1.99336958e-01 -3.24737602e-03 -2.71334910e-02 -5.05982422e-02
 -4.47791097e-02 -9.27530373e-02 -1.03876951e-01 -2.37887251e-01
 -6.37862994e-02  3.38527158e-01 -6.27638858e-02 -9.43127121e-03
  1.46399204e-03 -9.22624944e-02 -3.70796526e-01  4.45967284e-01
  2.24085117e-01 -1.19572078e-01  9.03025688e-02  2.30590650e-01
  5.19526258e-01  2.20256457e-01  1.03173929e-01 -8.44043745e-02
  5.48715357e-01  3.57303452e-01 -6.13578425e-02 -1.39636271e-01
 -5.43384072e-02 -1.33866102e-03 -1.02353663e-01 -4.90983130e-02
  9.78754371e-02]",0
8911810d457ffff,"[ 0.03157032  0.54366682  0.18059622 -0.09452339  0.45228716  0.51189705
  0.47827759  0.09001199 -0.01154682  0.10558583 -0.02703518  0.40928874
  0.37098218  0.50626017  0.26177298  0.          0.3417934   0.52736403
  0.48536525  0.58583419  0.15644359  0.26794648  0.40928874 -0.08386936
  0.3956643   0.40114447  0.21642626 -0.21661384 -0.01679667  0.13363726
  0.24683311 -0.04115587  0.00826537  0.09065308  0.04858544  0.30864171
  0.30462656  0.576346    0.44758581  0.24489796  0.1795396   0.52618632
  0.48160416  0.1496005  -0.00351177  0.4710356   0.23470219  0.23524593
  0.06806283  0.06165426  0.07380418 -0.07155798 -0.02014223 -0.05303985
 -0.07611449 -0.13014686 -0.05404186  0.37364391 -0.02010899 -0.00814427
  0.06287234 -0.09446878 -0.20293479  0.44964443  0.28549346 -0.05393501
  0.1199036   0.24529924  0.44763804  0.22871389  0.16090513  0.06709406
  0.48399758  0.45290926  0.00078593 -0.04035331  0.06296257  0.03598438
  0.04252591  0.08015339  0.12435089]",1
8911810d45bffff,"[-2.44328098e-03  4.90945733e-01  1.19371728e-01 -1.18332918e-01
  1.69974238e-01  4.93189562e-01  4.17053104e-01  6.45017868e-02
 -3.02543007e-02  1.63408959e-01 -6.10487825e-02  3.41261531e-01
  3.79485581e-01  5.14763567e-01  1.64834206e-01 -1.19047619e-02
  4.48936259e-01  5.54574919e-01  4.97270007e-01  5.56922629e-01
  4.43858556e-01  2.32232195e-01  3.88880578e-01 -8.38693593e-02
  3.68453420e-01  4.16450594e-01  1.50099726e-01 -3.63417269e-02
 -1.50959860e-02  1.38739300e-01  3.25064406e-01  9.31978725e-02
  2.03843597e-01  1.22966010e-01 -2.62444943e-02  1.67485249e-01
  2.96123161e-01  6.39271171e-01  4.59490568e-01  1.90476190e-01
  2.15253885e-01  5.26186321e-01  4.16978310e-01  2.51641320e-01
 -5.62328596e-02  4.74436965e-01  2.50008310e-01  1.62116679e-01
  2.70443780e-01  6.33549406e-02 -1.97332336e-02 -5.23144685e-03
  2.65935344e-04 -8.53527799e-02 -1.37338984e-01 -8.76298512e-02
 -5.57425413e-02  3.90650711e-01 -3.54151085e-02 -6.76680794e-02
  5.77702983e-02 -1.13176265e-01 -3.55996011e-01  3.69712457e-01
  2.68486662e-01 -4.20302501e-02  4.84750270e-02  2.46999917e-01
  5.51379540e-01  2.27013214e-01  1.04782681e-01 -2.13413114e-02
  5.86038394e-01  3.98487493e-01 -1.79215491e-02 -4.37546746e-02
 -4.75816505e-02  4.78891382e-02 -1.86985789e-02  2.23302585e-02
  1.22650212e-01]",1
8911810d463ffff,"[ 9.27948143e-02  2.88564780e-01  1.22288706e-02 -1.65951965e-01
 -1.39549572e-01  5.52713372e-01  3.09910247e-01  1.71644644e-01
  2.92695089e-02  8.00756254e-02  1.77046456e-01  5.67452007e-01
  5.69961772e-01  5.26668329e-01  3.79119920e-01  0.00000000e+00
  7.70364830e-01  6.49813014e-01  6.28222388e-01  6.87875010e-01
  6.46239508e-01  5.53660766e-01  3.17452007e-01  1.66130641e-01
  5.94643896e-01  8.09307737e-01  1.50099726e-01  4.16039225e-01
  4.44278235e-02  6.73107288e-02  5.27445359e-01 -2.58497465e-02
  2.27653121e-01  2.53918391e-01  6.89936009e-02  4.05580487e-01
  1.77075542e-01  4.48794980e-01  2.33300091e-01  7.50000000e-01
  3.22396742e-01  6.69043464e-01  4.76502119e-01 -3.40729660e-02
 -8.61381202e-03  5.93484584e-01  2.85722596e-01  1.02592870e-01
  2.46634256e-01 -1.27121250e-01 -1.14971329e-01  3.04828389e-02
  2.65935344e-04 -1.80590875e-01 -3.51624699e-01 -2.42391756e-01
 -3.29552065e-01 -1.56968337e-01  2.99177263e-04  1.34712873e-01
 -1.92229702e-01 -2.67938170e-01 -2.13138868e-01  5.72093410e-01
  3.03914236e-02 -2.68220726e-01  1.55617884e-01 -1.49048450e-02
  2.53760492e-01  3.10346547e-01  2.83354110e-01  6.19920219e-02
  7.28895537e-01 -1.13417269e-01  2.20173689e-01  1.57691349e-02
  1.19085016e-01 -7.11584808e-02  1.70157068e-02  3.42350204e-02
 -4.40164547e-02]",1
8911810d467ffff,"[-1.57205186e-01  2.88564780e-01  1.22288706e-02 -1.65951965e-01
  3.60450428e-01  5.52713372e-01  3.09910247e-01  1.71644644e-01
 -2.20730491e-01  8.00756254e-02 -7.29535444e-02  5.67452007e-01
  5.69961772e-01  5.26668329e-01 -1.20880080e-01  0.00000000e+00
  2.70364830e-01  6.49813014e-01  3.78222388e-01  4.37875010e-01
  6.46239508e-01  5.36607662e-02 -1.82547993e-01 -8.38693593e-02
  9.46438960e-02  5.93077371e-02 -9.99002742e-02 -8.39607745e-02
  4.44278235e-02  6.73107288e-02  2.77445359e-01 -2.75849747e-01
  2.27653121e-01  3.91839109e-03 -1.81006399e-01  1.55580487e-01
  1.77075542e-01  6.98794980e-01  2.33300091e-01  0.00000000e+00
  7.23967423e-02  4.19043464e-01  2.26502119e-01  4.65927034e-01
 -2.58613812e-01  3.43484584e-01  3.57225962e-02  1.02592870e-01
  4.96634256e-01  1.22878750e-01 -1.14971329e-01  3.04828389e-02
  2.65935344e-04 -1.80590875e-01 -1.01624699e-01 -2.42391756e-01
  1.70447935e-01  3.43031663e-01  2.99177263e-04  1.34712873e-01
  3.07770298e-01 -1.79381700e-02  3.68611319e-02  3.22093410e-01
  5.30391424e-01 -1.82207263e-02 -3.44382116e-01  4.85095155e-01
  2.53760492e-01 -1.89653453e-01 -4.66645890e-01  6.19920219e-02
  7.28895537e-01  1.36582731e-01 -2.98263110e-02  1.57691349e-02
  1.19085016e-01 -7.11584808e-02  1.70157068e-02  3.42350204e-02
  2.05983545e-01]",0
