name,tags,score,lat,lon
Стардогс,['Быстрое питание'],"4,1",38.054858,54.816722
Стардогс,['Быстрое питание'],"4,2",38.0425,54.937547
Кафе Чашка,"['Кафе', 'быстрое питание']","4,1",38.243143,54.852343
Фонарь24,"['Бар, паб', 'кафе']","3,9",38.078983,54.897002
Mix точка,['Быстрое питание'],"4,0",38.246472,54.841095
Южная ночь,['Кафе'],"3,6",38.244397,54.851789
Самая Вкусная Шаурма,"['Кафе', 'быстрое питание']","3,2",38.247046,54.840561
Восток,['Кафе'],"3,2",38.151207,54.83235
Чарли,"['Ресторан', 'караоке-клуб']","3,0",38.08025,54.891178
Бодрый день,['Кофейня'],"4,9",38.070952,54.891227
Алкополис 24,['Кафе'],"4,1",38.07626,54.901942
Алкополис24,"['Бар, паб']",,38.134202,54.870238
Чайхана Восток,['Кафе'],"4,6",38.248435,54.851966
Шаурма,['Быстрое питание'],"4,4",38.188443,54.857181
Импровизация,"['Караоке-клуб', 'ресторан']","4,4",38.072861,54.901532
Coffee Dobrolavka,"['Кофейня', 'кафе']","4,1",38.077997,54.887878
StupinoBrewery,"['Бар, паб']","4,3",38.05568,54.881656
Бодрый день,['Кофейня'],"4,2",38.078691,54.899699
Фастфуд,['Быстрое питание'],"4,0",38.031213,54.909267
Бургер старс,['Быстрое питание'],"3,6",38.068628,54.888873
Бистро,"['Кафе', 'ресторан']","4,1",38.027544,54.810268
Арарат,"['Быстрое питание', 'магазин продуктов']","3,9",38.151341,54.832561
Пронто пицца,['Ресторан'],"3,0",38.078888,54.898167
3D,"['Кафе', 'суши-бар']","4,0",38.269638,54.792954
Барракуда,['Суши-бар'],"3,9",38.24396,54.842974
ТайЧай,"['Ресторан', 'суши-бар']","3,1",38.077801,54.898607
Суши пицца,"['Суши-бар', 'пиццерия']","4,0",38.243084,54.85236
Шаурма № 1,['Быстрое питание'],"3,7",38.148888,54.826504
Узбекская кухня,"['Пекарня', 'быстрое питание']","3,8",38.151338,54.832383
MatkOFF_Bistro,['Быстрое питание'],"3,8",38.052648,54.896388
Кафе,['Кафе'],"3,5",38.064873,54.895032
Девичья Башня,['Ресторан'],"1,4",38.079405,54.897059
Бистро,['Кафе'],"2,4",38.097776,54.844445
Wok&Roll,"['Кафе', 'суши-бар']","2,7",38.243202,54.852364
Юность,"['Кинотеатр', 'ресторан']","4,2",38.080277,54.891142
20.23,['Кафе'],"4,1",38.054716,54.881177
Loft bar,"['Ресторан', 'бар, паб']","4,2",38.073045,54.901507
Караван,"['Ресторан', 'бар, паб']","2,6",38.236394,54.854355
Буфет,['Быстрое питание'],"4,1",38.273256,54.801391
Шаурма,['Быстрое питание'],"2,5",38.137955,54.940416
Кафе Лужники,['Кафе'],"1,7",38.098628,54.842407
Cafe Pizzeria,['Пиццерия'],"3,4",38.068156,54.879365
Кафе,['Кафе'],"2,0",38.055255,54.888998
Кафе,['Кафе'],,38.07946,54.898243
Bon Appetito,['Быстрое питание'],"2,6",38.046552,54.895393
Чебуречная Фудтрак,['Быстрое питание'],"3,8",38.254728,54.844045
Кафе,"['Кафе', 'клининговые услуги']",,38.081765,54.898435
Linde,['Ресторан'],,38.06313,54.89623
Гаспарян О. З.,['Ресторан'],,38.061425,54.917107
Золотой чебурек,['Быстрое питание'],,38.148737,54.812603
Misha Meat,['Быстрое питание'],,38.253722,54.84254
Блинная,['Быстрое питание'],,38.254412,54.844236
