name,tags,score,lat,lon
Autoeuropa,"['Автосервис, автотехцентр']","4,5",38.14911,54.839486
Шиномонтаж,['Шиномонтаж'],"4,9",38.188617,54.844652
AUTO3N,"['Магазин автозапчастей и автотоваров', 'запчасти для мототехники']","4,1",38.062786,54.896951
Форсаж,"['Магазин автозапчастей и автотоваров', 'смазочные материалы']","4,3",38.197976,54.839094
Диар,"['Шиномонтаж', 'автомойка']","4,4",38.056416,54.897905
VСервисе,"['Автосервис, автотехцентр']","4,3",38.076773,54.909437
Студинский,"['Автосервис, автотехцентр']","4,4",38.058753,54.915466
Шиномонтаж АВК,['Шиномонтаж'],"4,6",38.035831,54.900629
Грузовой автосервис Оптим,"['Автосервис, автотехцентр']","4,4",38.146623,54.820833
ДС-сервис,"['Автосервис, автотехцентр']","4,2",38.061852,54.904447
Автозапчасти для иномарок,['Магазин автозапчастей и автотоваров'],"4,2",38.071102,54.901488
Авторемонт,"['Автосервис, автотехцентр']","4,3",38.2443,54.854895
Ip автосервис,"['Автосервис, автотехцентр']","4,1",38.215985,54.851248
Автодонор,"['Магазин автозапчастей и автотоваров', 'авторазбор']","3,9",38.154702,54.827578
Автозапчасти,"['Магазин автозапчастей и автотоваров', 'смазочные материалы']","4,4",38.2548,54.788764
Госномера,"['Изготовление номерных знаков', 'магазин автозапчастей и автотоваров']","4,1",38.066155,54.898691
АвтоТехЦентр,"['Автосервис, автотехцентр']","4,1",38.036079,54.900032
LADA Dеталь,"['Магазин автозапчастей и автотоваров', 'автоаксессуары']","3,8",38.073826,54.899993
Yulsun.ru,"['Магазин автозапчастей и автотоваров', 'шины и диски']","3,9",38.059958,54.896359
Импульс авто,"['Магазин автозапчастей и автотоваров', 'смазочные материалы']","3,8",38.049491,54.895962
КореяАвто-zap,['Магазин автозапчастей и автотоваров'],"3,8",38.052034,54.896802
ForTruck,['Магазин автозапчастей и автотоваров'],"4,1",38.042682,54.895429
Автосервис,"['Автосервис, автотехцентр']","4,2",38.287805,54.828543
Inozapchasti.ru,['Пункт выдачи'],"4,3",38.160236,54.822967
Шиномонтаж,"['Шиномонтаж', 'шины и диски']","4,4",38.088766,54.893508
Шиномонтаж,['Шиномонтаж'],"4,5",38.176364,54.885227
Шиномонтаж Rus,['Шиномонтаж'],"4,6",38.145327,54.823651
Шиномонтаж,"['Шиномонтаж', 'автосервис, автотехцентр']","4,2",38.151046,54.821484
ШИНка Сервис,"['Автосервис, автотехцентр']","4,0",38.067052,54.896231
Шинлаб,"['Шиномонтаж', 'автосервис, автотехцентр']","4,4",38.019194,54.944074
Шиномонтаж,['Шиномонтаж'],"4,4",38.153506,54.829647
Изготовление номерных знаков,"['Изготовление номерных знаков', 'магазин автозапчастей и автотоваров']","4,4",38.152305,54.820019
Автобам,"['Автосервис, автотехцентр']",,38.073749,54.899821
Шиномонтаж,"['Шиномонтаж', 'автосервис, автотехцентр']","4,1",38.092341,54.892928
Автосервис Кашира,"['Автосервис, автотехцентр']","4,0",38.143745,54.822889
Victoria_parts,['Магазин автозапчастей и автотоваров'],"4,0",38.068251,54.893481
Victoriaparts,['Магазин автозапчастей и автотоваров'],"4,2",38.068518,54.893125
Кашира-Климат,"['Автосервис, автотехцентр']","4,1",38.154605,54.823379
Автосервис,['Пункт техосмотра'],"3,9",38.144697,54.824507
Автозапчасти,['Магазин автозапчастей и автотоваров'],"4,0",38.249973,54.85387
Автозапчасти,['Магазин автозапчастей и автотоваров'],"3,9",38.067963,54.896645
Авторемонт,"['Автосервис, автотехцентр']","3,4",38.155844,54.896234
Автомир,"['Магазин автозапчастей и автотоваров', 'смазочные материалы']","3,6",38.150992,54.822319
Аvтодок,"['Автосервис, автотехцентр']","3,7",38.060968,54.898
Автогарант,"['Автосервис, автотехцентр']","3,5",38.045683,54.893048
Автозапчасти,"['Магазин автозапчастей и автотоваров', 'автосервис, автотехцентр']","3,6",38.062634,54.902282
