name,tags,score,lat,lon
Тополек,"['Детский сад, ясли']","4,2",38.074822,54.886373
МАДОУ детский сад общеразвивающего вида № 14 Подснежник,"['Детский сад, ясли']","4,3",38.081799,54.895278
МКОУ Коррекционная общеобразовательная школа-интернат,['Школа-интернат'],"3,7",38.09049,54.888887
Красногорский экономико-правовой техникум Каширский филиал,['Техникум'],"3,2",38.189347,54.856583
Ромашка,"['Детский сад, ясли']","4,3",38.057662,54.886207
МБОУ СОШ № 8,['Общеобразовательная школа'],"3,6",38.073111,54.886479
МАДОУ д/с общеразвивающего вида № 14 Подснежник по улице Куйбышева 62,"['Детский сад, ясли']","4,2",38.076578,54.89495
Институт мировых цивилизаций,['ВУЗ'],"3,8",38.249774,54.852987
Берёзка,['Школа-интернат'],"2,8",38.058339,54.852831
МАДОУ ЦРР № 22 Журавушка,"['Детский сад, ясли']","4,4",38.065346,54.886226
МАДОУ детский сад общеразвивающего вида № 14 Подснежник городского округа Ступино,"['Детский сад, ясли']","4,2",38.08138,54.893068
Детский сад № 4,"['Детский сад, ясли']","4,3",38.24309,54.844549
Лужниковская Начальная школа-детский сад,['Начальная школа'],"4,1",38.096137,54.842678
МАДОУ ЦРР детский сад № 19 Ягодка городского округа Ступино,['Центр развития ребёнка'],"4,3",38.076218,54.893107
Муниципальное бюджетное образовательное учреждение дополнительного образования детей Центр детского творчества,"['Детский сад, ясли']","3,9",38.196383,54.856903
Сказка,"['Детский сад, ясли']","4,0",38.065445,54.886171
Детский сад № 3,"['Детский сад, ясли']",,38.243143,54.84712
Мультишкола,['Курсы иностранных языков'],"3,8",38.063383,54.891285
Scooljariki,['Общеобразовательная школа'],,38.202,54.838806
Техникум,['Техникум'],"3,6",38.082781,54.895214
